,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
0,11110,F,10대,가전/가구,12,13
1,11110,F,10대,가정생활/서비스,5,7
2,11110,F,10대,교육/학원,9.5,10
3,11110,F,10대,미용,8,8
4,11110,F,10대,스포츠/문화/레저,4,4
5,11110,F,10대,여행/교통,11,6
6,11110,F,10대,요식/유흥,1,1
7,11110,F,10대,유통,2,2
8,11110,F,10대,음/식료품,7,11
9,11110,F,10대,의료,9.5,9
10,11110,F,10대,의류/잡화,6,5
11,11110,F,10대,전자상거래,3,3
12,11110,F,10대,주유,13,12
13,11110,F,20대,가전/가구,12,10
14,11110,F,20대,가정생활/서비스,7,5
15,11110,F,20대,교육/학원,11,12
16,11110,F,20대,미용,10,9
17,11110,F,20대,스포츠/문화/레저,5,7
18,11110,F,20대,여행/교통,6,6
19,11110,F,20대,요식/유흥,1,1
20,11110,F,20대,유통,2,3
21,11110,F,20대,음/식료품,8,11
22,11110,F,20대,의료,4,4
23,11110,F,20대,의류/잡화,9,8
24,11110,F,20대,자동차,14,14
25,11110,F,20대,전자상거래,3,2
26,11110,F,20대,주유,13,13
27,11110,F,30대,가전/가구,14,9
28,11110,F,30대,가정생활/서비스,5,5
29,11110,F,30대,교육/학원,11,7
30,11110,F,30대,미용,9,10
31,11110,F,30대,스포츠/문화/레저,8,8
32,11110,F,30대,여행/교통,6,6
33,11110,F,30대,요식/유흥,1,3
34,11110,F,30대,유통,2,2
35,11110,F,30대,음/식료품,7,12
36,11110,F,30대,의료,4,4
37,11110,F,30대,의류/잡화,10,11
38,11110,F,30대,자동차,13,14
39,11110,F,30대,전자상거래,3,1
40,11110,F,30대,주유,12,13
41,11110,F,40대,가전/가구,14,10
42,11110,F,40대,가정생활/서비스,5,4
43,11110,F,40대,교육/학원,11,7
44,11110,F,40대,미용,9,11
45,11110,F,40대,스포츠/문화/레저,7,8
46,11110,F,40대,여행/교통,8,6
47,11110,F,40대,요식/유흥,2,3
48,11110,F,40대,유통,1,2
49,11110,F,40대,음/식료품,6,12
50,11110,F,40대,의료,4,5
51,11110,F,40대,의류/잡화,12,9
52,11110,F,40대,자동차,13,14
53,11110,F,40대,전자상거래,3,1
54,11110,F,40대,주유,10,13
55,11110,F,50대,가전/가구,14,10
56,11110,F,50대,가정생활/서비스,5,5
57,11110,F,50대,교육/학원,12,14
58,11110,F,50대,미용,9,12
59,11110,F,50대,스포츠/문화/레저,7,9
60,11110,F,50대,여행/교통,8,6
61,11110,F,50대,요식/유흥,2,3
62,11110,F,50대,유통,1,2
63,11110,F,50대,음/식료품,6,7
64,11110,F,50대,의료,4,4
65,11110,F,50대,의류/잡화,11,8
66,11110,F,50대,자동차,13,11
67,11110,F,50대,전자상거래,3,1
68,11110,F,50대,주유,10,13
69,11110,F,60대,가전/가구,13,9
70,11110,F,60대,가정생활/서비스,4,5
71,11110,F,60대,교육/학원,14,14
72,11110,F,60대,미용,10,13
73,11110,F,60대,스포츠/문화/레저,9,11
74,11110,F,60대,여행/교통,7,6
75,11110,F,60대,요식/유흥,2,3
76,11110,F,60대,유통,1,1
77,11110,F,60대,음/식료품,6,7
78,11110,F,60대,의료,3,2
79,11110,F,60대,의류/잡화,11,8
80,11110,F,60대,자동차,12,10
81,11110,F,60대,전자상거래,5,4
82,11110,F,60대,주유,8,12
83,11110,F,70대이상,가전/가구,12,8
84,11110,F,70대이상,가정생활/서비스,6,7
85,11110,F,70대이상,교육/학원,14,14
86,11110,F,70대이상,미용,8,12
87,11110,F,70대이상,스포츠/문화/레저,7,10
88,11110,F,70대이상,여행/교통,10,6
89,11110,F,70대이상,요식/유흥,2,3
90,11110,F,70대이상,유통,1,1
91,11110,F,70대이상,음/식료품,4,5
92,11110,F,70대이상,의료,3,2
93,11110,F,70대이상,의류/잡화,11,9
94,11110,F,70대이상,자동차,13,13
95,11110,F,70대이상,전자상거래,5,4
96,11110,F,70대이상,주유,9,11
97,11110,M,10대,가전/가구,12,12
98,11110,M,10대,가정생활/서비스,5,6
99,11110,M,10대,교육/학원,9,10
100,11110,M,10대,미용,10,9
